,NO2,O3,PM10,SO2,WSR,WDV
2023-01-01 00:00:00,0.043,0.007,222.0,0.0038,4.1,190.0
2023-01-01 01:00:00,0.0444,0.008,311.0,0.024,1.4,222.0
2023-01-01 02:00:00,0.0415,0.007,723.0,0.0098,2.5,4.0
2023-01-01 03:00:00,0.0423,0.006,473.0,0.0078,1.6,330.0
2023-01-01 06:00:00,0.0362,0.005,173.0,0.0053,4.0,264.0
2023-01-01 07:00:00,0.0347,0.004,212.0,0.0047,4.4,270.0
2023-01-01 08:00:00,0.0329,0.005,125.0,0.0042,2.3,279.0
2023-01-01 09:00:00,0.0378999999999999,0.006,144.0,0.0045,0.7,82.0
2023-01-01 11:00:00,0.0256,0.021,114.0,0.0049,3.5,284.0
2023-01-01 12:00:00,0.032,0.034,88.0,0.0052,1.7,104.0
2023-01-01 13:00:00,0.0213,0.043,92.0,0.005,2.6,221.0
2023-01-01 14:00:00,0.0152,0.043,71.0,0.0043,4.0,184.0
2023-01-01 15:00:00,0.011,0.047,49.0,0.003,6.3,165.0
2023-01-01 16:00:00,0.0157,0.055,40.0,0.0032,9.4,155.0
2023-01-01 17:00:00,0.0256,0.068,65.0,0.0118,12.9,145.0
2023-01-01 18:00:00,0.022,0.066,98.0,0.0191,10.7,147.0
2023-01-01 19:00:00,0.0322,0.046,90.0,0.013,7.8,157.0
2023-01-01 20:00:00,0.0444,0.028,106.0,0.0091,7.4,129.0
2023-01-01 21:00:00,0.0182,0.021,123.0,0.0053,10.6,135.0
2023-01-01 22:00:00,0.0255,0.012,81.0,0.0048,4.8,106.0
2023-01-01 23:00:00,0.024,0.016,79.0,0.0045,3.4,90.0
2023-01-02 00:00:00,0.0222,0.017,74.0,0.0043,6.5,120.0
2023-01-02 01:00:00,0.0285,0.01,76.0,0.004,4.5,71.0
2023-01-02 02:00:00,0.024,0.011,82.0,0.004,3.7,42.0
2023-01-02 04:00:00,0.0226,0.008,56.0,0.0035,5.0,321.0
2023-01-02 05:00:00,0.0228,0.007,52.0,0.0032,3.9,319.0
2023-01-02 06:00:00,0.0253,0.005,54.0,0.003,2.2,290.0
2023-01-02 07:00:00,0.0265,0.005,59.0,0.003,4.3,248.0
2023-01-02 08:00:00,0.0308,0.005,66.0,0.0033,4.2,241.0
2023-01-02 10:00:00,0.0384,0.01,154.0,0.0034,2.5,153.0
2023-01-02 11:00:00,0.0335,0.018,127.0,0.0050999999999999,3.5,197.0
2023-01-02 14:00:00,0.0123,0.034,236.0,0.0029,3.4,69.0
2023-01-02 15:00:00,0.0138,0.035,67.0,0.003,5.8,159.0
2023-01-02 16:00:00,0.02,0.045,73.0,0.0042,10.1,176.0
2023-01-02 17:00:00,0.0207,0.038,81.0,0.0044,8.0,174.0
2023-01-02 18:00:00,0.0371,0.025,76.0,0.0074,6.6,175.0
2023-01-02 20:00:00,0.06,0.005,118.0,0.0072,3.2,269.0
2023-01-02 21:00:00,0.0531,0.005,154.0,0.005,1.7,271.0
2023-01-02 22:00:00,0.0502,0.005,196.0,0.0046,3.6,237.0
2023-01-03 04:00:00,0.0283999999999999,0.006,127.0,0.0034,3.3,267.0
2023-01-03 05:00:00,0.0334,0.005,72.0,0.0048,6.1,251.0
2023-01-03 06:00:00,0.0195,0.012,76.0,0.0027,6.1,348.0
2023-01-03 07:00:00,0.0202,0.011,92.0,0.0026,3.7,50.0
2023-01-03 08:00:00,0.018,0.015,96.0,0.0028,9.5,6.0
2023-01-03 09:00:00,0.0147,0.02,89.0,0.0027,12.3,358.0
2023-01-03 10:00:00,0.0124,0.024,101.0,0.0024,10.5,3.0
2023-01-03 11:00:00,0.0091,0.028,102.0,0.0024,10.5,24.0
2023-01-03 13:00:00,0.0086,0.032,64.0,0.0031,8.3,59.0
2023-01-03 14:00:00,0.0127,0.035,62.0,0.0029,7.2,153.0
2023-01-03 15:00:00,0.015,0.042,66.0,0.0028,8.7,170.0
2023-01-03 16:00:00,0.015,0.045,72.0,0.0038,9.4,167.0
